song,artist1,artist2,song_netease,artist_netease,mood_netease,spotify-id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_origin_1,artist_origin_2,artist_type_1,artist_type_2,artist_era_1,genre_1,genre_2,genre_3,mood_1,mood_2,tempo_1,tempo_2,tempo_3
无问西东,王菲,Faye Wong,无问西东,王菲,伤感,,,,,,,,,,,,,,,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
匆匆那年,王菲,Faye Wong,匆匆那年,王菲,伤感,3z4leqkfSaXQPAyGwQruTe,0.547,0.343,10,-10.475,0,0.0301,0.954,0.00112,0.113,0.401,127.977,241000,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sophisticated',b'Smoky / Romantic',b'Medium Tempo',b'Medium Slow',b'60s'
岁月,王菲,Faye Wong,岁月,沈庆,怀旧,,,,,,,,,,,,,,,b'Asia',b'China',b'Female',b'Female Duo',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
红豆,王菲,Faye Wong,红豆,王菲,伤感,5l94Up12BJSjhH7Mhr2ji4,0.554,0.408,0,-10.609,1,0.0317,0.27,6.53e-06,0.26,0.17,111.821,256027,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'50s'
你在终点等我,王菲,Faye Wong,你在终点等我,王菲,伤感/怀旧,,,,,,,,,,,,,,,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Melancholy',b'Wistful / Forlorn',b'Slow Tempo',b'Very Slow',b'30s'
传奇,王菲,Faye Wong,传奇,王菲,怀旧,,,,,,,,,,,,,,,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'60s'
容易受伤的女人（粤语）,王菲,Faye Wong,,,,6JViHs0ojnP6FbPNgftYEK,0.616,0.35,8,-12.511,0,0.0315,0.142,4.61e-06,0.159,0.334,136.047,256667,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
人间,王菲,Faye Wong,人间,王菲,伤感/怀旧,1u25V63Qw64EkVh90Jyrmh,0.603,0.298,4,-11.761,0,0.0278,0.743,8.62e-06,0.267,0.298,130.041,285267,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Medium Tempo',b'Medium',b'60s'
笑忘书,王菲,Faye Wong,笑忘书,王菲,伤感,2jdnEIuyJfFPvXgIB3eC1T,0.475,0.322,9,-12.372,0,0.0332,0.927,6.04e-05,0.119,0.276,83.89,267933,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Slow',b'40s'
闷,王菲,Faye Wong,闷,王菲,伤感/怀旧,1ZDsdv7QHsSltM24N7xNsj,0.661,0.675,11,-9.212,0,0.0297,0.0944,0.387,0.256,0.554,124.341,252333,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Energetic Yearning',b'Medium Tempo',b'Medium Slow',b'60s'
